ID;GEST;NUM;Localisati;ADR_S;dep;ARRO;MODELE;NB;TYPE_ENP;CLASSEE;COMPTEUR;OUV_HIVER;SDF;EN_SERVICE;COMM;ADR_APUR;ARR;code;CFA;NUM1;LET;TYPV;LIBV;CLE;num_ox;ARRO1;QUA;A_BOIRE;Geo Shape;Geo Point
1032.0;DVD;16/123;;21 Avenue du Général Sarrail;75.0;75016;Sanisette;1.0;Non;Non;Oui;Non;Oui;Oui;;21 Avenue du General Sarrail;116;14.0;4083;21;;AV;GENERAL SARRAIL;4083-21;;16.0;61.0;1;"{""type"": ""Point"", ""coordinates"": [2.255506608891871, 48.845527460760195]}";48.8455274608,2.25550660889
1019.0;DDEEES;;Marché Point du Jour;215 avenue de Versailles;75.0;75016;Borne marché;1.0;Non;Non;;;;;;215 avenue de Versailles;116;13.0;9706;215;;AV;VERSAILLES;9706-215;;16.0;61.0;0;"{""type"": ""Point"", ""coordinates"": [2.258705182133613, 48.83815218711849]}";48.8381521871,2.25870518213
1036.0;DVD;16/135;;38 Avenue Raphaël;75.0;75016;Sanisette;1.0;Non;Non;Oui;Non;Oui;Oui;;38 av Raphaël;116;14.0;8039;38;;AV;RAPHAEL;8039-38;;16.0;62.0;1;"{""type"": ""Point"", ""coordinates"": [2.266864236454206, 48.85726511645727]}";48.8572651165,2.26686423645
986.0;DEVE;;Jardin Place Rodin;Place Rodin;75.0;75016;Borne-fontaine;1.0;Non;Non;Non;Non;Oui;Oui;;pl Rodin;116;4.0;8302;1;;PL;RODIN;8302-1;numnr;16.0;61.0;1;"{""type"": ""Point"", ""coordinates"": [2.270518722298808, 48.85309395862923]}";48.8530939586,2.2705187223
856.0;DEVE;;Parc André Citroën;2 rue de la Montagne de la Fage;75.0;75015;Modèle spécifique;4.0;Non;Non;Non;Non;Oui;Oui;;2 rue de la Montagne de la Fage;115;7.0;6455;2;;RUE;MONTAGNE DE LA FAGE;6455-2;;15.0;60.0;1;"{""type"": ""Point"", ""coordinates"": [2.275778646930915, 48.84091690765736]}";48.8409169077,2.27577864693
904.0;DDEEES;;Marché Saint-Charles;119 rue Saint Charles;75.0;75015;Borne marché;1.0;Non;Non;;;;;;119 rue Saint Charles;115;13.0;8513;119;;RUE;SAINT CHARLES;8513-119;;15.0;60.0;0;"{""type"": ""Point"", ""coordinates"": [2.283816065036872, 48.8444664065895]}";48.8444664066,2.28381606504
846.0;EDP;17;;59 rue Saint Charles;75.0;75015;Borne-fontaine;1.0;Non;;Oui;Non;;;;59 rue Saint Charles;115;4.0;8513;59;;RUE;SAINT CHARLES;8513-59;;15.0;59.0;1;"{""type"": ""Point"", ""coordinates"": [2.287593954018269, 48.848899711869095]}";48.8488997119,2.28759395402
1000.0;DEVE;139;Rivière Ouest;1 place de Varsovie;75.0;75016;Fontaine ornementale;1.0;;;;;;;;1 place de Varsovie;116;12.0;9604;1;;PL;VARSOVIE;9604-1;;16.0;62.0;0;"{""type"": ""Point"", ""coordinates"": [2.291065461518392, 48.86216403373799]}";48.8621640337,2.29106546152
938.0;DVD;15/109;;150 rue de la Convention;75.0;75015;Sanisette;1.0;Non;Non;Oui;Non;Oui;Oui;;150 rue de la Convention;115;14.0;2300;150;;RUE;CONVENTION;2300-150;;15.0;57.0;1;"{""type"": ""Point"", ""coordinates"": [2.291516505285985, 48.83933851199272]}";48.839338512,2.29151650529
857.0;DEVE;;Square Saint-Lambert;2 rue Jean Formigé;75.0;75015;Modèle spécifique;2.0;Non;Non;Non;Non;Oui;Oui;;2 rue Jean Formige;115;7.0;4889;2;;RUE;JEAN FORMIGE;4889-2;;15.0;57.0;1;"{""type"": ""Point"", ""coordinates"": [2.296171181491452, 48.84248661806781]}";48.8424866181,2.29617118149
956.0;DVD;15/142;;68 Avenue de Suffren;75.0;75015;Sanisette;1.0;Non;Non;Oui;Non;Oui;Oui;;68 Avenue de Suffren;115;14.0;9114;68;;AV;SUFFREN;9114-68;;15.0;59.0;1;"{""type"": ""Point"", ""coordinates"": [2.297942867622255, 48.85271677294107]}";48.8527167729,2.29794286762
936.0;DVD;15/116;;1 Place Adolphe Chérioux;75.0;75015;Sanisette;1.0;Non;Non;Oui;Non;Oui;Oui;;1 Place Adolphe Cherioux;115;14.0;0059;1;;PL;ADOLPHE CHERIOUX;0059-1;;15.0;57.0;1;"{""type"": ""Point"", ""coordinates"": [2.300120424678267, 48.84102631728327]}";48.8410263173,2.30012042468
302.0;DPA;40;Fontaine François 1er;Place François 1er;75.0;75008;Fontaine ornementale;1.0;Non;Non;Oui;Non;;Oui;;pl Francois 1er;108;12.0;3813;2;;PL;FRANCOIS IER;3813-2;numnr;8.0;29.0;0;"{""type"": ""Point"", ""coordinates"": [2.307766755639454, 48.866230552368776]}";48.8662305524,2.30776675564
957.0;DVD;15/117;;68 rue de la Procession;75.0;75015;Sanisette;1.0;Non;Non;Oui;Non;Oui;Oui;;68 rue de la Procession;115;14.0;7845;68;;RUE;PROCESSION;7845-68;;15.0;57.0;1;"{""type"": ""Point"", ""coordinates"": [2.30965183667554, 48.83642247119025]}";48.8364224712,2.30965183668
815.0;DVD;14/116;;41 Rue Didot;75.0;75014;Sanisette;1.0;Non;Non;Oui;Non;Oui;Oui;;41 Rue Didot;114;14.0;2794;41;;RUE;DIDOT;2794-41;;14.0;56.0;1;"{""type"": ""Point"", ""coordinates"": [2.320364473414034, 48.83191671985779]}";48.8319167199,2.32036447341
