X,Y,Name,Description
7.590626,47.5536595,Fasnachts-Brunnen,"<img src=""https://doc-08-24-mymaps.googleusercontent.com/untrusted/hostedimage/f6u64nodcabo26320jjaagdfpc/0ll9phhb993r0tkrcoe5ag000g/1568029500000/GMyYZQtQrNc-i61GkAqfGleE4oRA2oA6/*/2AF2TALoUYF3sT2Ud68h4qlSzt0o5qpM93TVcpEKu-xMzWVbNK_1JVL4sHxH62hvAv2s1qq2LTA_8WjEMjV7R6SQTjn5WK-iAjvAJHXov0Y6YD1qVyulRHS-80k1kG3wffoDEAX5KIEdofLmJO8yjwU79jbHw2o3n9Kc16-C5ToLtn-ggXxUxSx5H0Uk4qsK2HJN3u_p1BDludq8k9GvHktox05mRssBrTt1lFDWmBsnz39ohjYaTijsHddIUUxN-m8tX6amxgPzNqE5TpvLtESNYY0p9Fnkcag?fife"" height=""200"" width=""auto"" /><br><br>Theatervorplatz / Steinenberg (Foto Christian Lienhard, Basel)"
7.6040196,47.547087,Biotop-Brunnen,Engelgasse
7.5838736,47.5582093,Biotop-Brunnen ,"<img src=""https://doc-0o-24-mymaps.googleusercontent.com/untrusted/hostedimage/f6u64nodcabo26320jjaagdfpc/s3lmcov6e88nv36ju42n05982c/1568029500000/GMyYZQtQrNc-i61GkAqfGleE4oRA2oA6/*/2AF2TALoB-PGryysu0BM6iB4fJDjk9-iZ5umym5JXRTPT0uYXK2dtew1lcEDKPXnix9L5tsM_XXDNIg2xglKn7HQ7lFqfPEnpOfeO_wHRkDgpL-DF_6khb9lr1ZZ5F44hzxSS5KbJo79YtInWOtosnkol0Y-1wgY0KymQPsz3nY0SJbWVb6KIZ5IQ1hAviEi0WcA4ZLeJ5bUYYRxaXrVVnDsn0qqQ-Nwp1cwzqcbP9m88WWmlPvhLidAY0XX3-e0O1eS80ZhPhoErVXepenNx95yohVkNU0KFaQ?fife"" height=""200"" width=""auto"" /><br><br>Petersplatz 1 (Foto Christian Lienhard, Basel)"
7.5732225,47.5703896,Fontäne-Brunnen,"<img src=""https://doc-00-24-mymaps.googleusercontent.com/untrusted/hostedimage/f6u64nodcabo26320jjaagdfpc/bkod8o4okm90mv4mf9adhg1u6k/1568029500000/GMyYZQtQrNc-i61GkAqfGleE4oRA2oA6/*/2AF2TALq1LHe-Zc0OZgzFYT-qVBKBO5gHUWIK5bKIoeD9qJ2JziqjcCLbG9yz8sbOgSoReCK5yLW-OpUsYbyGvgSxYtrA0eWzRdEsmDhNWSjTVQdV5PJo4lPyTW3z1wspVNgJeVI1AUaMAQC78-ISM26uNV8c_k3M6rdxN2kWj6AdflIl-6D6VmRd_9J4hUQTTCYjE1xVlT4YHXpqkRgHjsmd0Pc4PQXb4k-6GgXR4b3LN3R5bUmVDhD9tps2wa7Nswj-MSBGH32c6EmRjExo6Gijl43pU45C8A?fife"" height=""200"" width=""auto"" /><br><br>Vogesenplatz (Foto Christian Lienhard, Basel)<br><br><img src=""https://doc-08-24-mymaps.googleusercontent.com/untrusted/hostedimage/f6u64nodcabo26320jjaagdfpc/7lb6k0i0pc43krcuj48c4fmg7s/1568029500000/GMyYZQtQrNc-i61GkAqfGleE4oRA2oA6/*/2AF2TALoV2a_5kaBLMrN_sYBEdri-7Nac0V8T-uHbIPi5PRePWWqAmdVVZ8RxwoNABinE4pJH27n9V7c1lFSoOT508jjg0lHV79OXl1at9j_JASMyanl3FJdayPntcXhdRYn6agdHLo0uQMsBQ0nygNpapLor_eaSXsLW4s79nIkKrPV45czi0lVT1Zpoqi_DnDQF0YhjdBWGZb-E5__qzvtwSsm9fveQKNENeyZv2hqq0-zszfrxsWCjY7ruF8Z7zBqEHVsCk0GRN4pJSCh62mXmbAeXQaL7GQ?fife"" height=""200"" width=""auto"" />"
7.6064122,47.5682288,Fürstengarten-Brunnen,"<img src=""https://doc-0s-24-mymaps.googleusercontent.com/untrusted/hostedimage/f6u64nodcabo26320jjaagdfpc/6uprg7ql4h20prljna55l0le10/1568029500000/GMyYZQtQrNc-i61GkAqfGleE4oRA2oA6/*/2AF2TALpjnDE-mH2n17SyAKeefMMDxFtotZPcx6-eDBvHxbfg7b4KRKtS-9ljVwanKueqjXfetPNB5G8zg-L4-GHXO5YLsgNmAt5W5qqAJlaC-y4oi5SohyhdlAuAFdYZzGHcSFxmHHWOTZQ24G091ACwPmzFKEqSLli0Ca5njyKf0nwgu_EU5YRrEvVpCYvr-W5bfD-ZBWC_i-MHg6mhYqRAaRvs4pIoXl8zIHdE_vZxgov28T3Wi-ewcdJYN8szzpu6YWIJRPb9qzwNF59jwZS7_vjuSIHPuw?fife"" height=""200"" width=""auto"" /><br><br>Fürstengarten Badischer Bahnhof (Foto Christian Lienhard, Basel)<br><br><img src=""https://doc-0g-24-mymaps.googleusercontent.com/untrusted/hostedimage/f6u64nodcabo26320jjaagdfpc/vpuug8kmd36gbn8dg95l9n5gos/1568029500000/GMyYZQtQrNc-i61GkAqfGleE4oRA2oA6/*/2AF2TALpFjUnv-aUbXHUZR83e1zH7xf94fsr4ZfEf0B2OmV_B-lmz7igO-Ki2cIxXC6U8q5SkA1howyTjrsJVkDMwAB5Iqx0-Xlani8CetJLxqV2kI6dXbcvYFl3rBqT1q_uEYoaAT8GD0WnwtBY175dpFRiH9TImw8RT8EHAB0u4qQtrMWwY3_DjO_-_oWvhGsh_NSms6vqfDabHNJvuqW93G-nR9RkD50xOpj5LLPAsxXRXF9eVYQ4Zfj0cJ1qmwr8bZi-nr636__exClCf20i8uj_3W-oTQA?fife"" height=""200"" width=""auto"" />"
7.5847185,47.5609587,Geysir-Brunnen,"<img src=""https://doc-10-24-mymaps.googleusercontent.com/untrusted/hostedimage/f6u64nodcabo26320jjaagdfpc/n4pj3l39v9boc0js4ptvtljibs/1568029500000/GMyYZQtQrNc-i61GkAqfGleE4oRA2oA6/*/2AF2TALrKdEA7QtX8sNKOcu3J6QoEo6aenCFfFDNHtG8wH8ubs_Pp1XBs_74Jb5WSP2-OgSGFDSBhEIWbBQgM27GsA3vrawjGEmuW0s1e3CC5VrXrPVk0mbKwBxE0CzGbLy6TaZJgV_Lmr95TSvwzahnC1xfA_1j5i4kOgJ-GdtCghyA41K76eouGgwX0xGMKAA9reXpKFAXf2fGugxSoZYZwaNdAdECkNwLZX-L_c8TqGahoIJU-BdoOn1xmMpZ9HuXQNpnIlUaafFmVi5gaG2DSnzS7TICE2A?fife"" height=""200"" width=""auto"" /><br><br>Petersgraben (Foto Christian Lienhard, Basel)"
7.6010786,47.564326,Messeplatz-Brunnen,"<img src=""https://doc-0o-24-mymaps.googleusercontent.com/untrusted/hostedimage/f6u64nodcabo26320jjaagdfpc/m5s1uf1ocotqjqhgp70i0fli8o/1568029500000/GMyYZQtQrNc-i61GkAqfGleE4oRA2oA6/*/2AF2TALqRqQFxcm0vtwS2JaSJh8XIjiCc1zzqyca_Fxy8f1Btl4ceqoUhIVBKqIzzxqqsffcDESPxL3-j2ibDiyqInzQu_9ZIgVwuukhLRs_6IQLC1eYoslEvPBXb1X6Oc_5mU-Vd4y840E6Mk7dxujxe8CykeQXh9zw5mFCzdYrd2huUB4YK7lmVcOsyPnqMVCuVk5OLhp8hjP5smHbuQna6vZB8rE-zBGCh_zIJHRJPt9-cMfrE95PYSqfiodXfLYrhdyyxirujGkxCEOkWozYQ7c_6cHD2Cg?fife"" height=""200"" width=""auto"" /><br><br>Messeplatz (Foto Christian Lienhard, Basel)"
7.6067314,47.5671176,Rhein- und Wiesebrunnen,"<img src=""https://doc-0o-24-mymaps.googleusercontent.com/untrusted/hostedimage/f6u64nodcabo26320jjaagdfpc/60e70k4cm2omfe2beotub7s8k0/1568029500000/GMyYZQtQrNc-i61GkAqfGleE4oRA2oA6/*/2AF2TALo9om40NN1KCMjugT0EKsPtyPXBqPacnE_VhPzrp7kyJt3Px_5bhkh2YyEQydDby8sE-w_myshBwEM1PC-JRky5sosN7Fmo5lFSSyIvzWGFqwa7yScs1_Z87x8hRFzfRAP1VUB-TjR73IZO1uSDJdzpVA7AT1eUWdh9EQSq8KJtEv4zfY15ADKSwA9Q2HBoJjCs2rM_1sXH8IUqsHsvhNpKQLz-sO6ZCS0gfp4W6Ycs3mEsVWYnyyNvWBR5jhSPuK1jxmWoIWBoIImu5oZNdmz1bQNtCg?fife"" height=""200"" width=""auto"" /><br><br>Badischer Bahnhof / Schwarzwaldallee (Foto Christian Lienhard, Basel) <br><br><img src=""https://doc-14-24-mymaps.googleusercontent.com/untrusted/hostedimage/f6u64nodcabo26320jjaagdfpc/pdv9f4ruj15mqdpp5r0q4rnsu4/1568029500000/GMyYZQtQrNc-i61GkAqfGleE4oRA2oA6/*/2AF2TALpurOH-UsfRnvvWSybYJWKZcEKjWFwfCDjE6xdMObDh99aBQo4vQYzmB4tQW59GSKUhac-2KS1CuzOKGRlvFy0gyEOOC32jtQrTSs5pymEJ6gIfM4Agz1pNubT69IcGTphFNpcRQeJuAEU2DzsIKHLR6Q1CGz7if3EGVZH2Xr_L2L0b6_si2g48BlxXu7X8B_ZbPi17VU0Wq3g2acHk2M-0EIgMAHfO7DCJeGN58JTt4QpqqzXxkPTtqRmsw56MJJoEMOyMcf7Wad_paKHnVw78zsfbfw?fife"" height=""200"" width=""auto"" />"
7.6254344,47.5668191,Rundtrog-Brunnen ,"<img src=""https://doc-0s-24-mymaps.googleusercontent.com/untrusted/hostedimage/f6u64nodcabo26320jjaagdfpc/k9fd5pisi4qgftbea7fngrab00/1568029500000/GMyYZQtQrNc-i61GkAqfGleE4oRA2oA6/*/2AF2TALothDINVqLecgkkwwZNZ9E7obvibx6i2y-lMkQo94lxdw5GLXRtQCjcrN5lHZMHJ52y4FV1dnhCwdAeTEWzuXBmsdrWExUUPY2pGjRZuMd5ycwh7UoIlVFPUeuMlFYms8dU9PjZKYzBM0bTVZYLLRVbytRtqAPmoZL4HKM4PiaD6U52vS7pjPe41BsJrLeUK_agolCWJOXboKflmK7Kbh4HZ3xyue3SwlVRTO-FZ68Wg5n_buYsJngX9aOORw6ejGkzrk60AjQ8uDM_O0UG4vXWqhMd5g?fife"" height=""200"" width=""auto"" /><br><br>Zu den drei Linden (Foto Christian Lienhard, Basel)"
7.6063478,47.5644726,Spring-Brunnen ,"<img src=""https://doc-04-24-mymaps.googleusercontent.com/untrusted/hostedimage/f6u64nodcabo26320jjaagdfpc/ce8dlr2m86r9bmduts40hgsqbg/1568029500000/GMyYZQtQrNc-i61GkAqfGleE4oRA2oA6/*/2AF2TALoEazRwmmmnTRKxaIYxUVJgxH8C-xKI4GSgZAlMVRlBu9z_Lr4jRCOiNroQZRuV_0rut4bs4KL9jfZvGcorqPhnORSJDbHSfqTP0_nU2J1l0Alp0dc1-e0u1Nzmq4RlFHmPf1gb8b-aETP4S_s1fLXfMc81-6mFGXQXVAqxRYpbzzRtiq0YIgtKo3xWHvj5CrWTxIMj4Pj8qCeyYNSyQ1ptwCEXVDIjtdI1UUwA7tB6t_yvFHyKD5lsEKbdi1rseSuxi7eTGNiAkAcyg9XSiHmUNt_jDQ?fife"" height=""200"" width=""auto"" /><br><br>Riehenstrasse (Foto Christian Lienhard, Basel)"
