X,Y,Name,Description
7.6294497,47.5628908,Äänisbreetli-Brunnen,"<img src=""https://doc-04-24-mymaps.googleusercontent.com/untrusted/hostedimage/f6u64nodcabo26320jjaagdfpc/8ijau7giscblc8fep7ipeqmuic/1568029500000/GMyYZQtQrNc-i61GkAqfGleE4oRA2oA6/*/2AF2TALrwv13rYpqU58JCIImy2ISUZb7m9AB6GykZmlJVN7t9_kkv59D5-gQ06wnlUJbsE3JlZgXYRJSanQDNKtJkrkAQ-MR4ttwP0_LyK6wynUkdenRuvrTIDa2Iug-izM8bkpOnsejtZwLN0ON0NnpVgB_Pb1NyQj20wnzV1KbYJJLMmHPas8o_HU1YpsexRpGbiKHSOlmzhZskwRRpU2KTohwnxbSsYQtUWOrRXxW8jsgb-Nwr7qvJ7XSM_nFzs8vLbUmGHErK3gbTRmDbL9l7SDayLs4aSg?fife"" height=""200"" width=""auto"" /><br><br>Ecke Grenzacherstrasse / Bettingerweg (Foto Christian Lienhard, Basel)"
7.5970861,47.5583957,Achteck-Brunnen,"<img src=""https://doc-0s-24-mymaps.googleusercontent.com/untrusted/hostedimage/f6u64nodcabo26320jjaagdfpc/0uvabl9oi62dn7jou2aucffei0/1568029500000/GMyYZQtQrNc-i61GkAqfGleE4oRA2oA6/*/2AF2TALr4-LDJ0NvoSAM7i0LHdIpJXW_wJTnnOizL-DHzNXsaAl4IyqshoAtFS5xUBSeZFVvax7P9VWhzeek3EN-eUdse5FsLfLhKf-oQpDGcw6fu1TnmFMBMTNiQBJSZkcI4cHuNsf7j00pUjhPVrlDwECuw8-viA6cYmc3MTrOfSZuPW0PqxHOh7sMRT6s8cLmAetF16sGXd7AJtU8iP1_GLMEmkCQhWzVKqPSI4jjiizUF_MqP4pNTylsoztDX2Kf88E1LPWpkD-Ee-tQ_kKYsYS-QrU0gnQ?fife"" height=""200"" width=""auto"" /><br><br>Theodorskirchplatz (Foto Christian Lienhard, Basel)"
7.5931889,47.5502353,Aeschengraben-Brunnen,"<img src=""https://doc-00-24-mymaps.googleusercontent.com/untrusted/hostedimage/f6u64nodcabo26320jjaagdfpc/1769h1f5523u2n5em4cc4e2hc0/1568029500000/GMyYZQtQrNc-i61GkAqfGleE4oRA2oA6/*/2AF2TALq_ViovUngkPrdnNk3sWtZ9_bUDLG12D-jwcpIIGI-yvNMc5GARtRqtv0SYMksHxQZm9SPIWb44bYWjg-yAYJCmixzr-e6r_Q_K7eeK3IhQlS_ru-bLhGjbuVtLocEvWFPdduOlbzuDHSoc39L4mhR__kc-ZIKrD3s-Yh2NxSP5Biym9ZMd5HLwRj6EHjolsq4cAv8Nlcv84AWVr2LNFNM8V255QovAFMhVcdq4yd6djQzFCokesd9N1hDaIEk0sTou9R7UJfAzUJ0gykExhgkNPQdwdQ?fife"" height=""200"" width=""auto"" /><br><br>Aeschengraben (Foto Christian Lienhard, Basel)"
7.5864002,47.558155,Affen-Brunnen,"<img src=""https://doc-0g-24-mymaps.googleusercontent.com/untrusted/hostedimage/f6u64nodcabo26320jjaagdfpc/rt0rbntipaggd972dkv6r0ojrs/1568029500000/GMyYZQtQrNc-i61GkAqfGleE4oRA2oA6/*/2AF2TALpIFsEsO53g7VeeHxZCf6a4xLSYh5-AwH4a32i61TiCQlV191sIzjOoWnr1Nc5dU8vpr8bSg3PRNHK05JreP0_3dUKidyciO04W4YxnI94RWVpjae4v9ZWNxtfGyjfyjlHW4mKLZlFMTvk2YrYf1rgXOHMFrG2qmLbYOzmvPY9M-eAF2gPjseZ3JgHdCbAMsDinp11983e6uwHwaiWj_vjKPcuGgYMKxl5oGC1BZIJHBqOqypKhjnqKYUjW1N2CRxJ6SgIBYpeEHahE_4iTsjvuhw8yjA?fife"" height=""200"" width=""auto"" /><br><br>Andreasplatz (Foto Christian Lienhard, Basel)"
7.593095,47.5542758,Affen-Brunnen,"<img src=""https://doc-0g-24-mymaps.googleusercontent.com/untrusted/hostedimage/f6u64nodcabo26320jjaagdfpc/iijh2e2qjkkcrrj1h913d0grks/1568029500000/GMyYZQtQrNc-i61GkAqfGleE4oRA2oA6/*/2AF2TALqeQU7eeVphUyKdelfnqkPdYvv3WyubBURtUzckT7ceZS7l2R0CZv9djgiL2Rf4_3v5gZcUebfTPqnfEV_imr6TQKZzE553_hoiGhupTV_IAGFyK6CVs86D5KNEmACKj3-uNmpfndKZrxBf3SNIDi8Mx87gx-hMDFIysnw_o4i1SLn0gtwav_RSLXd75FA9-S2oeQ6I5Z5KXKkwrmOFbbckHj2POtNk4qfePNEYigV-zrdWyQfdgRIG8yYoaBqmTyMNBr5iUi1RVzlX5k8KpuFYUxUgJA?fife"" height=""200"" width=""auto"" /><br><br>St. Alban-Graben  (Foto Christian Lienhard, Basel)"
7.6008426,47.5545075,Albankloster-Brunnen,"<img src=""https://doc-0o-24-mymaps.googleusercontent.com/untrusted/hostedimage/f6u64nodcabo26320jjaagdfpc/pbs28adqeeq43u83jt5g40daug/1568029500000/GMyYZQtQrNc-i61GkAqfGleE4oRA2oA6/*/2AF2TALomelhEBjizH6UuaM8zpNGydzZjKjq4qNZ43e8mcx4TefMt9-LA3lZ_YO6Iv-0Mc-gtiFmnnGi0RJ24k1rYzLk8iC3UvUdeVhlSuAnV26FTslVPqi543hMWumZAOZ-U30nMBqK0Ls9QKhB32JqOMune1S6I7ScxFGm9Y9XAG86jcn5OoRHH6n3yqcAll-53MdtWPdgTC4JhY2gD6CmX7Qmqe-lhQ2T86Jfbv-3KUXFWdHSZxQGWlcvhmz0RN41ygUew3JOOmju7iXrLRDRneN11Rp7-5w?fife"" height=""200"" width=""auto"" /><br><br>Mühlenberg / St. Alban-Kirchrain (Foto Christian Lienhard, Basel)"
7.5689712,47.5574852,Allschwilerplatz-Brunnen,"<img src=""https://doc-0o-24-mymaps.googleusercontent.com/untrusted/hostedimage/f6u64nodcabo26320jjaagdfpc/ki3ocfml12f5skbh5aqj61kbs4/1568029500000/GMyYZQtQrNc-i61GkAqfGleE4oRA2oA6/*/2AF2TALqHg0K9MG7WVFHgdJ7osg0ku4uGsw53Q4tkIvyehniqsa35WaTDZk7cZVraC5a0CC6xj29s7701YpDjfC45-yA-KrqsO2uhz660PuNPKdo6QajZnQAMz044P7oVuP1W1hGMxI7tLWwjz6LZYiOmhWWWIgV6N2K6pR5qw4VPW1WUNuWXv5zym8lEF5EbcB5hmUaQZvpL3F5YQhR1hRFHvpAIDIn5tSh7yo7yexeHq1LQ9nbzCdTL8q7HwxhRtIthdGAjdt2AS6SkAJB8wN8o4KONy158ng?fife"" height=""200"" width=""auto"" /><br><br>Allschwilerstrasse / Colmarerstrasse (Foto Christian Lienhard, Basel)"
7.5883878,47.5786283,Altrheinweg-Brunnen,"<img src=""https://doc-08-24-mymaps.googleusercontent.com/untrusted/hostedimage/f6u64nodcabo26320jjaagdfpc/ffvl40kkljov5mfvsvl3hov9to/1568029500000/GMyYZQtQrNc-i61GkAqfGleE4oRA2oA6/*/2AF2TALp1-iJREnVdunD7J7ZUYwAYgdpJCaB2Dzua4SFvSF9vN6KgonTjsiMGW2WS2zMXpHhglk-yKrHBfx9-L9TeGnRFXnDna1CFA6Hw9iat41nJme4Npzf6hDfC0DPIFMQozghAKIlU02nNiM_5jbpi9caAbh_H4oucSiUhJYOurEhttPh4mphVdQIANJj8y4AvixpRl09hWk54fWViLQtbi2V6pMCxN8gQO-vAZpeuQQzMWZKKTziIIIVw36JFHGRkZdjkEuyQI2Mg6anjNfQcloZ7zHzfvQ?fife"" height=""200"" width=""auto"" /><br><br>Altrheinweg / Ackerstrasse (Foto Christian Lienhard, Basel)"
7.5859925,47.5584038,Apotheker-Brunnen,"<img src=""https://doc-14-24-mymaps.googleusercontent.com/untrusted/hostedimage/f6u64nodcabo26320jjaagdfpc/tbga0855s0gr35uchh5jhf40eo/1568029500000/GMyYZQtQrNc-i61GkAqfGleE4oRA2oA6/*/2AF2TALqht7mZeX7shxDIjuS5LymGogt726eKoxH9X-GTEWaSBPkTxcOr8GEBjG2QuxI7bpiFwtPdeANzMigS3cR6WXvYaYMTgUytN7OHDdyVNLDLuvWCpzzn9s6dFLNwqmqLcfLEnkSSVYDy11RVB-wEHZYIo2EWh2rykNwNX6BZqZQynSOdeKWwmSrobHLHQdhz7A49bJ2-NFhjPUzNVm_dFB4N1bXMZZmh7rJ0DrmSwbtdE56N_klHIYsA2US_xiOBDKdHXy1LD68zauETjrFP2rON3-P5ig?fife"" height=""200"" width=""auto"" /><br><br>Totengässlein 3 (Foto Christian Lienhard, Basel)"
7.5930011,47.5601804,Arbeitsamt-Brunnen,"<img src=""https://doc-04-24-mymaps.googleusercontent.com/untrusted/hostedimage/f6u64nodcabo26320jjaagdfpc/hukv1hkl1mmsdvqt4q59r73q2s/1568029500000/GMyYZQtQrNc-i61GkAqfGleE4oRA2oA6/*/2AF2TALqGP-DE6ZCdV-bGn1TYcqZwJ0Qx4rtwLnUPwWIihO-8q0LdMZlBkUQ1M6WysYtaOTQP0UqluOlW56MRVS94tzkWc0g-vvs_SN0fu6NDiAvW4_G2ehIvIWlhweF-qobptrXcQLrL-cqcnXq_VNXTlLL0zB9jSDjc7DIt7Ei63eqA1GddCMskSyHN-a_qKeZtOFsqxW7bJatDPUsxfQoY57kt0VHrXVqHnMfkgpe6Q57wpUbtjRZ2kvtPw89zJ_z7jT4L1rvp-8bsxcrvIoc5buGVLWx2DA?fife"" height=""200"" width=""auto"" /><br><br>Utengasse 32  (Foto Christian Lienhard, Basel)"
