,X,Y,X_dms,Y-dms,primaryind,nummer,brunnenart,historisch,wasserart_,bezeichnun,qid
0,8.599255292,47.36975239,"E8°35'57.31","N47°22'11.10",1,510,öffentlicher Brunnen,1970,Verteilnetz,Aussichtsturm,Q4115189
1,8.590811295,47.36929262,"E8°35'26.92","N47°22'9.453",2,349,öffentlicher Brunnen,1933,Verteilnetz,,
2,8.575753922,47.36612994,"E8°34'32.71","N47°21'58.06",3,365,öffentlicher Brunnen,1965,Quellwasser,Biberlinterrasse,
3,8.56484539,47.37099304,"E8°33'53.44","N47°22'15.57",4,338,öffentlicher Brunnen,1910,Quellwasser,,Q27230192
4,8.564390325,47.3693267,"E8°33'51.80","N47°22'9.576",5,6069,Notwasserbrunnen,1988,Quellwasser,,
5,8.560110282,47.36519745,"E8°33'36.39","N47°21'54.71",6,317,öffentlicher Brunnen,1903,Quellwasser,,
6,8.562214574,47.36512362,"E8°33'43.97","N47°21'54.44",7,329,öffentlicher Brunnen,1907,Quellwasser,,
7,8.560302538,47.36698661,"E8°33'37.08","N47°22'1.151",8,327,öffentlicher Brunnen,1906,Quellwasser,,
8,8.556959679,47.3684935,"E8°33'25.05","N47°22'6.576",9,315,öffentlicher Brunnen,1903,Quellwasser,,
9,8.555890549,47.36954372,"E8°33'21.20","N47°22'10.35",10,313,öffentlicher Brunnen,1892,Quellwasser,,
10,8.558166401,47.37133647,"E8°33'29.39","N47°22'16.81",11,6021,Notwasserbrunnen,1978,Quellwasser,,
11,8.560288496,47.36840523,"E8°33'37.03","N47°22'6.258",12,360,öffentlicher Brunnen,1948,Quellwasser,,Q27229969
12,8.561561894,47.3702049,"E8°33'41.62","N47°22'12.73",13,736,privater Brunnen,1905,Quellwasser,,
13,8.565773091,47.36725255,"E8°33'56.78","N47°22'2.109",14,343,öffentlicher Brunnen,1928,Verteilnetz,,
14,8.564052626,47.36636545,"E8°33'50.58","N47°21'58.91",15,308,öffentlicher Brunnen,1880,Quellwasser,,
15,8.564745243,47.36551178,"E8°33'53.08","N47°21'55.84",16,6060,Notwasserbrunnen,1986,Quellwasser,,
16,8.566123332,47.36481224,"E8°33'58.04","N47°21'53.32",17,319,öffentlicher Brunnen,1951,Quellwasser,Klusplatz,
17,8.553844517,47.37053383,"E8°33'13.84","N47°22'13.92",18,322,öffentlicher Brunnen,1905,Quellwasser,,
18,8.554404586,47.36926705,"E8°33'15.85","N47°22'9.361",19,311,öffentlicher Brunnen,1892,Quellwasser,,Q27230160
19,8.549222701,47.37094611,"E8°32'57.20","N47°22'15.40",20,783,privater Brunnen,1905,Quellwasser,bei der Turnhalle,
20,8.550185041,47.36898395,"E8°33'0.666","N47°22'8.342",21,40,öffentlicher Brunnen,1905,Quellwasser,,
21,8.555079538,47.36739767,"E8°33'18.28","N47°22'2.631",22,350,öffentlicher Brunnen,1934,Quellwasser,Merkurplatz,Q27229939
22,8.558569288,47.36681652,"E8°33'30.84","N47°22'0.539",23,359,öffentlicher Brunnen,1941,Quellwasser,,
23,8.566850417,47.36867724,"E8°34'0.661","N47°22'7.238",24,358,öffentlicher Brunnen,1939,Verteilnetz,,Q27229863
24,8.552027351,47.36591318,"E8°33'7.298","N47°21'57.28",25,746,Brunnen in städtischer Liegenschaft,,Verteilnetz,,
25,8.569772838,47.36448528,"E8°34'11.18","N47°21'52.14",26,339,öffentlicher Brunnen,1913,Verteilnetz,,
