lat,lon,wikidata
47.40283,8.4999404,Q27230124
47.4092916,8.4948507,Q27229864
47.3384108,8.5322625,Q27230215
47.3384683,8.5306436,Q27229839
47.3441984,8.529788,Q27229951
47.3315762,8.516503,Q27229857
47.3666835,8.5405953,Q27230182
47.3783213,8.5097242,Q27229899
47.3509728,8.5204211,Q55169625
47.3847295,8.5479977,Q27229818
47.4094105,8.5378065,Q27230098
47.3555989,8.5292616,Q27229885
47.3746861,8.5520334,Q27230198
47.3694233,8.5591857,Q27230202
47.3800843,8.5483012,Q55166802
47.3728878,8.5433005,Q27229775
47.3559076,8.5330827,Q27230014
47.3655256,8.5321706,Q27230180
47.3870135,8.4908195,Q27229957
47.4028131,8.5008097,Q55166749
47.367988,8.4957238,Q27230049
47.3646246,8.5378423,Q27229889
47.3641112,8.5261455,Q27229977
47.3791232,8.4954871,Q27229956
47.3743565,8.5254056,Q27229909
47.380019,8.5428765,Q27229959
47.3730866,8.5333989,Q27229964
47.3724477,8.5456879,Q27230021
47.371345,8.5417829,Q27229888
47.3692806,8.5908081,Q55165905
47.3742091,8.5911842,Q55169659
47.3650582,8.5540209,Q27229914
47.3563271,8.5319893,Q27230113
47.3821959,8.5389288,Q27229971
47.3711977,8.5281595,Q55166163
47.3691336,8.5233781,Q27229965
47.3847139,8.5317023,Q27230185
47.3702867,8.5446855,Q27229658
47.3802419,8.5396604,Q55166819
47.3771487,8.54217,Q27229783
47.3594589,8.5356744,Q27229890
47.3667492,8.5454975,Q27229960
47.3981962,8.5328087,Q27229877
47.3935794,8.5447286,Q27229787
47.3793282,8.5470571,Q55166799
47.3821457,8.541903,Q27229689
47.3871107,8.5411534,Q27229892
47.3924498,8.5279684,Q27230209
47.3786648,8.5062404,Q27230353
47.3858905,8.5471757,Q55170092
47.383053,8.5436805,Q27229904
47.3834387,8.5434747,Q55169693
47.378417,8.536443,Q55170009
47.378552,8.53652,Q55170006
47.378694,8.536605,Q55170003
47.378848,8.536692,Q55170000
47.378993,8.536779,Q55169998
47.379143,8.536872,Q55169995
47.3783,8.536367,Q55170013
47.379291,8.536953,Q55170762
47.3736153,8.545257,Q27230047
47.3787933,8.5415326,Q27229670
47.3958456,8.545151,Q27230203
47.4058949,8.5378468,Q27229779
47.3864191,8.5608978,Q27230229
47.371052,8.5430838,Q27229659
47.4117237,8.5253727,Q27230090
47.3734645,8.5532624,Q27230201
47.3576417,8.5089548,Q27230102
47.3639848,8.5014517,Q27229685
47.3742715,8.5145514,Q27230181
47.3782888,8.482983,Q27230071
47.3843588,8.4880207,Q27230018
47.3573326,8.5681049,Q27229881
47.3858662,8.5396436,Q55166813
47.3894279,8.538861,Q27230011
47.3670315,8.5447202,Q27229958
47.3865438,8.5514487,Q27230126
47.3948751,8.5234135,Q27230134
47.3661148,8.5476609,Q27229662
47.3564467,8.5260606,Q27229669
